העיבתה םוכס,םיטרפ,הצובקה,תויזכרמ תונעט,םידדצה,ךיראת,'סמ
".ח""ש ןוילימ",רושיאל השקבה תא רשיא טפשמה תיב 2015 טסוגואב 30 םויב,,,,,
.רושיגב הרשפל,"ימ לכ ,הנושארה :תוצובק 2",,,,,
.ןידכ הדמצה ישרפה םילומגתל,"הרבחה ,םיעבותה תנעטל",,,,,
.הרבחל העיבתה,"תחאה ,םיעבות ינש",,,,,
.הרבחה 'נ,10/2013,,,,,
"א""ת-יזוחמ",.1,,,,,
".ח""ש ינוילימ 70-כ",תיב ידי-לע רשוא םכסההו הרשפ םכסה טפשמה תיבל ושיגה םידדצה,,,,,
.םייפוסה ויאצממ תא םסרפ םרטו ויתוקידבב ליחתה,ג דצ וא/ו בטומ וא/ו חטובמ לכ,,,,,
".מ""עמה ביכר תא","הרבחה ,םיעבותה תנעטל",,,,,
.לעופב,'נ בכר חוטיבב חטובמ,,,,,
.תורחא,05/2015,,,,,
דול-יזוחמ,.2,,,,,
".ח""ש ןוילימ 196 הרבחל סחוימ","תונפל םידדצל ץילמה טפשמה תיב ,תונעטה יבתכ אולמ ושגוהש רחאל",,,,,
.טפשמה תיב,ןגב וא רפס תיבב דימלת לכ,,,,,
.תוישיא תונואת חוטיבל הסילופה,"תועבתנה ,םיעבותה תנעטל",,,,,
.ויתויוכזל,תסילופב םיחטובמ,,,,,
.תפסונ חוטיב תרבחו,2/2020,,,,,
דול -יזוחמ,.3,,,,,
